"n","assumed_dist","standard_error_omega","standard_error_alpha","standard_error_beta","standard_error_gamma","MSE_omega","MSE_alpha","MSE_beta","MSE_gamma","MAE_omega","MAE_alpha","MAE_beta","MAE_gamma","AIC","BIC"
100,"norm",0.0823526480948758,0.0599423250317075,0.0734968039379637,0.0876960730140978,0.0654770611940338,0.019095330025535,0.0471401347289298,0.185109490052039,0.125194461950381,0.106401371904065,0.110194893236121,0.3476510377634,1.82821812688847,1.95847663618788
1000,"norm",0.0312122495731348,0.028579207467617,0.0304446039392124,0.0399534483118862,0.0012671651576291,0.000841938012401776,0.00116173169681192,0.00185129264143405,0.024991543993986,0.0229612098974902,0.0241286501062338,0.0340045364915274,1.84273991775581,1.86727869415072
5000,"norm",0.0127462326426806,0.0123939471510739,0.0124427389641889,0.0175944668678137,0.000158927780811393,0.000152816772145038,0.000150486423689686,0.000314451268406842,0.00987438405642628,0.00985296917648401,0.00966728097123155,0.0140778452309919,1.8385546259637,1.84507181915511
8000,"norm",0.00992565314794854,0.00972589122867794,0.00967632437192351,0.0138678212704849,9.7383663772636e-05,9.29334012529839e-05,9.28965856648416e-05,0.000194194157415447,0.00780114685763222,0.00768241237813903,0.00761639838913216,0.0111414558862582,1.83837403465678,1.84274103266969
100,"ged",0.0858250947712918,0.0608137520788384,0.0766699705956441,0.0885469846068161,0.0785608499235791,0.0268163387256913,0.0576032480586625,0.183049351954578,0.137507673754813,0.108863709284282,0.121800032949924,0.330555133425612,1.8354356835304,1.99174589468968
1000,"ged",0.031654397660404,0.0289247503770792,0.0308861973942585,0.0397424630282111,0.00126781249691609,0.000843824813978675,0.00116230402137247,0.0018514014686483,0.0249938314128172,0.0229762009895172,0.0241196936924018,0.0340116617818143,1.84373388261955,1.87318041429344
5000,"ged",0.0131273764085295,0.0127338235829553,0.0128098167914441,0.017486964056536,0.000159016308945903,0.000153064969558173,0.000150578090015492,0.000314752727558932,0.00987841039068196,0.00985974542169587,0.00967099829994154,0.0140892936372167,1.83875546007333,1.84657609190303
8000,"ged",0.0102491554369335,0.010010509127341,0.00999790358903854,0.0137278468497261,9.74591451873393e-05,9.29272294271836e-05,9.29645797880129e-05,0.000194316599137168,0.00780458973153172,0.00768248386837758,0.00761588030434092,0.0111418428575746,1.83850207831509,1.84374247593059
100,"sged",0.0752211978240326,0.0564900011982733,0.0670931377524109,0.0806926829739547,0.0711955563074641,0.0237866758390819,0.0538620353966848,0.174248452480007,0.132209751743895,0.11715029568103,0.118083406651287,0.339329324081917,1.83533811837246,2.01770003139163
1000,"sged",0.0320103517966706,0.0291426832114346,0.0312058063799059,0.0398852528040574,0.00128197724677169,0.000850845661545914,0.00117432263409874,0.0018528105172356,0.0250026630657095,0.0230767742593071,0.0241475680116157,0.0340386237172492,1.84472642558844,1.87908071254131
5000,"sged",0.0131126109377298,0.0127208919532577,0.0127929790130577,0.0174549983079523,0.000159033527449955,0.000153287598018914,0.000150660954832124,0.000315066269314431,0.00988142233340975,0.00986501987260709,0.00967773636013559,0.0140919809275799,1.83895035777636,1.84807442824434
8000,"sged",0.0102885748416914,0.0100363252000731,0.0100426205561504,0.0137378254209859,9.74726681693484e-05,9.30219248965125e-05,9.30053197467924e-05,0.000194344889133543,0.00780571610965143,0.00768550167025542,0.00761645932336874,0.0111424674059965,1.83862732343606,1.84474112065414
100,"std",0.0945227120628685,0.0625603995097543,0.0847918415905678,0.0923423893518014,0.0914501944999135,0.024264801872288,0.0702401762463411,0.240346114294341,0.148113232019991,0.118382134940409,0.134167000687707,0.389645058675228,1.85754127808243,2.01385148924171
1000,"std",0.0309237371248465,0.0286510900467305,0.0301307220623939,0.040226090765881,0.00128431898516249,0.000846887590109898,0.00117429984211972,0.00187522164491844,0.0250810207769689,0.0230408642370822,0.0242115295258344,0.0341613415815553,1.84482997721802,1.87427650889191
5000,"std",0.0128429570756543,0.0126080112775109,0.0125598482283144,0.017612994825904,0.000159404200652519,0.000153142009201796,0.000150621660787823,0.000315560076382173,0.00988479451811269,0.00986823667323242,0.00967192366971119,0.0141085201589601,1.83911293759688,1.84693356942658
8000,"std",0.0101770532180906,0.0100087335552983,0.00994527231923627,0.0139873042072357,9.7850451127152e-05,9.322772708628e-05,9.3069989167964e-05,0.00019458193901115,0.00781449472364288,0.00769433093556628,0.00762233856899306,0.0111535097496188,1.83878370689084,1.84402410450634
100,"sstd",0.0992434955847147,0.0649396893398356,0.0890223549715884,0.0968470222229754,0.106890343038186,0.0337352140428197,0.0884596490121071,0.277377869943361,0.163189572364748,0.135810185646776,0.151236986747861,0.40470388136328,1.86407004491762,2.04643195793678
1000,"sstd",0.0326931871315246,0.0300448463584899,0.0320318478486829,0.0420893397871861,0.00128763092298622,0.000856579001201681,0.00118153339974783,0.00187867420963288,0.0250702967269334,0.0231797128563555,0.0242372570734492,0.0342112405050072,1.84622377429303,1.8805780612459
5000,"sstd",0.0128978070401217,0.0126944151562622,0.0126183923982099,0.0177593780239251,0.000159372554234905,0.00015365937342905,0.000150956885397997,0.000316733512066328,0.0098878529195731,0.00988062260073727,0.00968457374485121,0.014128374633438,1.83957336959815,1.84869744006613
8000,"sstd",0.0102106146602481,0.0100762066792329,0.00998278834486384,0.0141220511310119,9.78638640759819e-05,9.35860449831007e-05,9.32491963352641e-05,0.000195174662555653,0.00781468746365713,0.00770574170701571,0.00762809739049642,0.0111681145148756,1.83915774921733,1.84527154643541
